tt,mm,f1,f3,f4,f5,f6,f7,soilstor,epxstor,kststor1,kststor2,soil18o,epx18o,kststor118o,kststor218o,dpdf[0],stal1d18o,stal2d18o,stal3d18o,stal4d18o,stal5d18o,drip_int_stal1,drip_int_stal4,drip_int_stal3,drip_int_stal2,drip_int_stal5,cave_temp
51,3,0.0,2.9933414523522703,0,2.0331611682217665,0.19800798401599357,0,0.0,368.204945370948,400.0,98.8059840239808,-2.9218965601,-2.567237758206885,-3.5373344534034841,-2.845915276227026,2.969394720733452,-1.2825963953084774,-2.1455906694257676,-2.1666121908393565,-1.0662138681770683,-2.0433500361947132,202,108,94,93,100,7.271421939166672
52,4,1.018257672,2.9537856243435843,0,2.0329259476933186,0.1976119680479616,0,4.073030688,363.33926207925555,400.0,98.60837205593283,-2.4285770731,-2.5668553545408876,-3.5260479861795435,-2.845915276227026,2.9301553393488353,-1.2868838736175281,-2.1803606995266511,-2.0556512424763085,-1.0688070805615624,-2.0364181045460228,202,110,90,86,100,7.290986383055557
53,5,27.9348568936,3.1301929517828446,0,2.0343212258219263,0.19721674411186568,0,111.7394275744,385.03877461290415,400.0,98.41115531182096,-2.3439496590450357,-2.5509410928953913,-3.5145843426623213,-2.845915276227026,3.105151408168582,-1.2808138515340017,-2.1644375210295719,-2.1464882716146771,-1.0522124379971354,-2.0193998734026053,203,103,67,63,100,7.266204354166668
54,6,40.0,3.4003101969032334,19.265356700672953,2.1236359600471442,0.2,17.676512012493916,160.0,399.0,400.0,99.8,-2.4717923199447527,-2.5434924761876356,-3.4729192987712052,-2.7964042649169985,3.3731077153280076,-1.2487839450637805,-2.0954362975706964,-1.9675600512205627,-1.0628066133610004,-1.9936131170933402,200,100,74,55,100,7.3375557119444395
55,7,40.0,3.512,33.004096000000004,2.2000538846645958,0.2,32.804096000000015,160.0,399.0,400.0,99.80000000000001,-2.702186499801482,-2.5579520683164603,-3.4076536229485508,-2.737144803612318,3.483904,-1.1869444422764053,-2.2177001156308274,-2.2364590248377114,-1.074749530615593,-1.9257145810123166,200,100,68,55,100,7.326202567500001
56,8,40.0,3.512,33.004096000000004,2.200343933584104,0.2,32.804096000000015,160.0,399.0,400.0,99.80000000000001,-2.2192448990651825,-2.5270903672457288,-3.3441015990444281,-2.6849426728657724,3.483904,-1.1419163698556112,-2.4617790817809126,-2.146959464727094,-1.0512429883062779,-1.8694630435867055,200,100,64,49,100,7.359309541944441
57,9,40.0,3.512,33.004096000000004,2.1999178154215411,0.2,32.804096000000015,160.0,399.0,400.0,99.80000000000001,-2.268631671001657,-2.5035405999341958,-3.2823284462514506,-2.639861145940332,3.483904,-1.1095484672684064,-2.2827873838785484,-1.9981031997431398,-1.0406986551350084,-1.8206285895524532,200,100,78,54,100,7.41766297111111
58,10,21.36053864,3.36288430912,14.661673096233017,2.1074164688496206,0.2,14.461673096233028,85.44215455999999,399.0,400.0,99.8,-1.854949653874482,-2.4705825777333357,-3.2507641510342342,-2.6181778439047005,3.3359812346470403,-1.0821063398609443,-2.1769932471534803,-1.9950974227520568,-1.0018515777542314,-1.7831818512447084,200,100,87,70,100,7.391523943888888
59,11,0.0,3.192,0,2.0342515784120976,0.1996,0,0.0,392.641536,400.0,99.6004,-1.26951432681421,-2.4705825777333357,-3.2423171191183511,-2.6181778439047005,3.166464,-1.0754938251429369,-2.0083040260223672,-1.7956678012411853,-0.99440141228301915,-1.7679821470201196,200,101,93,82,100,7.361342970555558
60,12,0.0,3.1411322879999997,0,2.033987666929848,0.19920079999999998,0,0.0,386.384400482304,400.0,99.4011992,-0.07728431200000019,-2.4705825777333357,-3.2340152274981846,-2.6181778439047005,3.116003229696,-1.0724337053247268,-1.8159824858895446,-1.7869113195958519,-0.99053037638774377,-1.7572047687324233,201,103,95,89,100,7.350315350555558
61,1,0.0,3.091075203858432,0,2.0337009437382254,0.1988023984,0,0.0,380.226978676218,400.0,99.20239680159999,-1.4594206951,-2.4705825777333357,-3.2258686598003363,-2.6181778439047005,3.0663466022275645,-1.080264885855553,-1.7290882325463608,-1.6980343390419206,-0.9971077983166321,-1.757030103028967,201,105,97,93,100,7.386062425277782
62,2,0.0,3.0418158294097437,0,2.0334598997876858,0.19840479360319999,0,0.0,374.16768154403377,400.0,99.00399200799679,-1.9548867472999998,-2.4705825777333357,-3.2178990251306314,-2.6181778439047005,3.017481302774466,-1.0736733460816605,-1.640930527393003,-1.6986333784169139,-0.99034403291686779,-1.7429844163592279,202,106,94,92,100,7.358909621666669
63,3,0.0,2.9933414523522703,0,2.0330284218036847,0.19800798401599357,0,0.0,368.204945370948,400.0,98.8059840239808,-2.5627997753,-2.4705825777333357,-3.2101317637782927,-2.6181778439047005,2.969394720733452,-1.0642875383712891,-1.6520389021009718,-1.6951575544830177,-0.97938167739164417,-1.7256349803339566,202,108,98,93,100,7.316069794166673
64,4,26.753538888000005,3.159667874071584,0,2.0345397729773418,0.1976119680479616,0,107.014155552,388.66442585379735,400.0,98.60837205593283,-4.0996787932,-2.5809336416801125,-3.2037771998919107,-2.6181778439047005,3.134390531079011,-1.0731835544571799,-2.1694561722733763,-2.1997475773053443,-1.1031685965053883,-1.7283422497873513,202,102,70,70,100,7.356673666388893
65,5,40.0,3.429315406830379,22.833229563391228,2.1431129461799707,0.2,21.44160161932406,160.0,399.0,400.0,99.8,-3.5611119670923195,-2.6723971050603477,-3.1692599716640464,-2.6283720509986175,3.401880883575736,-1.080606678055096,-2.4565794040801725,-1.9870155789665223,-1.1920206099940156,-1.6896209824108777,200,100,67,52,100,7.338083686944447
66,6,40.0,3.512,33.004096000000004,2.2003899601109973,0.2,32.804096000000015,160.0,399.0,400.0,99.80000000000001,-3.8157888317967554,-2.7765785835784715,-3.1277618278200241,-2.665203916704722,3.483904,-1.1205514467440558,-2.3718042684724994,-2.0758813303609625,-1.2994730659485754,-1.6511764826708797,200,100,65,49,100,7.352027695277776
67,7,40.0,3.512,33.004096000000004,2.200431940480998,0.2,32.804096000000015,160.0,399.0,400.0,99.80000000000001,-3.5812023606784904,-2.8498928229497715,-3.093982178206899,-2.7111022780914564,3.483904,-1.1691697712288285,-2.3547469286093747,-1.9341845155967929,-1.3755972387474724,-1.6200474777947615,200,100,66,49,100,7.364116986666666
68,8,40.0,3.512,33.004096000000004,2.2002393594230578,0.2,32.804096000000015,160.0,399.0,400.0,99.80000000000001,-2.756564418903632,-2.841389095929622,-3.065553986041428,-2.7434807872864235,3.483904,-1.1984930045456643,-2.0994637273996641,-1.7879893170295036,-1.363913975186426,-1.5884110029137366,200,100,73,53,100,7.349944136111109
69,9,40.0,3.512,33.004096000000004,2.2004801950939585,0.2,32.804096000000015,160.0,399.0,400.0,99.80000000000001,-1.4077627324123245,-2.7107625480009387,-3.0381544136860112,-2.7353497435697514,3.483904,-1.1821291698798087,-1.8236932331296973,-1.6263459520128309,-1.2247095932672591,-1.5525892969853183,200,100,71,57,100,7.312435521388888
70,10,17.577463152,3.332619705216,10.938884699209723,2.0888786166971416,0.2,10.738884699209734,70.309852608,399.0,400.0,99.8,-1.0064560844683887,-2.6388494304842376,-3.0273596267259579,-2.7258173575325677,3.3059587475742718,-1.1615027930820254,-1.6976637638584924,-1.6254018905944578,-1.1413884735175239,-1.5304819808056314,200,100,88,65,100,7.261901125833337
71,11,0.0,3.192,0,2.0343349772930175,0.1996,0,0.0,392.641536,400.0,99.6004,-0.8553662977629463,-2.6388494304842376,-3.0248750753693177,-2.7258173575325677,3.166464,-1.1660271806016587,-1.5317369923817381,-1.4375854654989917,-1.1453025954216711,-1.5326068130067094,200,101,98,88,100,7.282535200000002
72,12,0.0,3.1411322879999997,0,2.0341803277693842,0.19920079999999998,0,0.0,386.384400482304,400.0,99.4011992,-0.5368133138999998,-2.6388494304842376,-3.0225401182078584,-2.7258173575325677,3.116003229696,-1.1571869732488471,-1.5553433968065189,-1.6504812238673505,-1.1355434780289109,-1.5219067466221148,201,103,95,94,100,7.245137061666664
73,1,0.0,3.091075203858432,0,2.0339198726843759,0.1988023984,0,0.0,380.226978676218,400.0,99.20239680159999,-1.5816680012,-2.6388494304842376,-3.020305028313099,-2.7258173575325677,3.0663466022275645,-1.1622307223798645,-1.7055718605994974,-1.5778273148454591,-1.1392898483024716,-1.5248118658620635,201,105,94,91,100,7.268140783333333
